First Name,Last Name,Ath Yr,School,Ath Home,State,Ath Number,Event,Time,Wind,Mark,Place,Points,Meet Name,Meet Year,Txt Filename,Insurance1,Insurance2
Jordan,Alvarez,11,Riverside HS,,TX,214,Boys 200 Meter Dash,22.14,-1.1,,3,6,Lonestar Relays,2018,a1f0c9.txt,,
Priya,Nakamura,10,Fairview Academy,,TX,88,Girls 200 Meter Dash,25.90SR,+0.6,,1,10,Lonestar Relays,2018,a1f0c9.txt,,
Devon,Marsh,9,Fairview Academy,,TX,91,Girls 200m Dash,27.33,+0.6,,5,2,Lonestar Relays,2018,a1f0c9.txt,,
Chris,Nguyen,JR,Riverside HS,,TX,220,Boys' JV 200m,23.87,-1.1,,2,8,Lonestar Relays,2018,a1f0c9.txt,,
Mary-Kate,Reynolds,SO,Fairview Academy,,TX,102,Girls Junior Varsity 200 Meter Dash,28.41PR,+0.6,,4,4,Lonestar Relays,2018,a1f0c9.txt,,
Elena,Cho,12,Riverside HS,,TX,230,Girls Long Jump,,,18-02,1,10,Lonestar Relays,2018,a1f0c9.txt,,
Marcus,Bell,11,Fairview Academy,,TX,145,Boys Long Jump,,,6.10m,2,8,Lonestar Relays,2018,a1f0c9.txt,,
Sam,Ortiz,11,Riverside HS,,TX,146,Boys Long Jump,,,FOUL,,,Lonestar Relays,2018,a1f0c9.txt,,
Taylor,Whitfield,,Riverside HS,,TX,150,Boys 800 Meter Run,DNS,,,,,Lonestar Relays,2018,a1f0c9.txt,,
Jordan,Alvarez,11,Riverside HS,,TX,214,Boys 200 Meter Dash,22.14,-1.1,,3,6,Lonestar Relays,2018,a1f0c9.txt,,
Cabrera,9,Fairview Academy,,IL,,Girls 200 Meter Dash,26.55,,,,6,1,Prairie Invite,2019,b7e214.txt,,
Whitlock,,Central HS,,IL,,,58.6h,,,,,,Prairie Invite,2019,b7e214.txt,,
Kayla,Reyes,12,Central HS,,IL,301,Girls 800 Meter Run,2:19.44,,,1,10,Prairie Invite,2019,b7e214.txt,,
Marcus,Bell,12,Fairview Academy,,IL,145,Boys Triple Jump,,,13.75m,1,10,Prairie Invite,2019,b7e214.txt,,
Owen,Park,10,Central HS,,IL,310,Boys Shot Put,,,44-07,3,6,Prairie Invite,2019,b7e214.txt,,
Bishop,12,,IN,Wisconsin,,Boys 5000 Meter Run,14:56,,,,7,,Foot Locker Regional,2020,d92c11.txt,,
Benjamin,Carter,12,Riverside HS,,TX,214,Boys 400 Meter Dash,48.90,,,2,8,Regional Championships,2019,c3af90.txt,,
Benjamin,Carter,SR,Riverside HS,,TX,214,Boys 400m Dash,49.02SR,,,3,6,Regional Championships,2019,c3af90.txt,,
Ana,Delgado,14-15,Fairview Academy,,TX,88,Girls 400 Meter Dash,61.40,,,4,4,Regional Championships,2019,c3af90.txt,,
Chris,Nguyen,SR,Riverside HS,,TX,220,Boys 400 Meter Dash,49.55,,,5,2,Regional Championships,2019,c3af90.txt,,
Noah,Fischer,11,Central HS,,IL,318,Boys High Jump,,,6-02,2,8,Regional Championships,2019,c3af90.txt,,
